# Wavelength(nm)	SPD
735	1.330000
736	1.310000
737	1.310000
738	1.300000
739	1.260000
740	1.280000
741	1.270000
742	1.260000
743	1.290000
744	1.300000
745	1.290000
746	1.290000
747	1.290000
748	1.280000
749	1.280000
750	1.270000
751	1.270000
752	1.270000
753	1.270000
754	1.280000
755	1.280000
756	1.260000
757	1.260000
758	1.270000
759	1.250000
760	1.260000
761	1.250000
762	1.250000
763	1.250000
764	1.260000
765	1.250000
766	1.200000
767	1.210000
768	1.230000
769	1.210000
770	1.210000
771	1.210000
772	1.210000
773	1.210000
774	1.210000
775	1.210000
776	1.210000
777	1.200000
778	1.200000
779	1.210000
780	1.190000
781	1.190000
782	1.200000
783	1.190000
784	1.180000
785	1.190000
786	1.190000
787	1.190000
788	1.180000
789	1.180000
790	1.170000
791	1.160000
792	1.150000
793	1.140000
794	1.130000
795	1.130000
796	1.140000
797	1.160000
798	1.150000
799	1.140000
800	1.120000
801	1.140000
802	1.140000
803	1.120000
804	1.130000
805	1.100000
806	1.130000
807	1.120000
808	1.120000
809	1.100000
810	1.110000
811	1.110000
812	1.120000
813	1.120000
814	1.120000
815	1.110000
816	1.110000
817	1.110000
818	1.090000
819	1.070000
820	1.070000
821	1.080000
822	1.060000
823	1.080000
824	1.070000
825	1.070000
826	1.080000
827	1.080000
828	1.070000
829	1.060000
830	1.060000
831	1.060000
832	1.060000
833	1.030000
834	1.050000
835	1.050000
836	1.060000
837	1.050000
838	1.050000
839	1.040000
840	1.050000
841	1.050000
842	1.030000
843	1.030000
844	1.010000
845	1.040000
846	1.040000
847	1.010000
848	1.010000
849	1.010000
850	0.910000
851	0.998000
852	0.990000
853	0.981000
854	0.869000
855	0.927000
856	0.990000
857	1.010000
858	1.010000
859	1.010000
860	1.000000
861	0.999000
862	1.010000
863	1.010000
864	0.990000
865	0.974000
866	0.858000
867	0.925000
868	0.969000
869	0.959000
870	0.977000
871	0.963000
872	0.976000
873	0.966000
874	0.949000
875	0.936000
876	0.962000
877	0.965000
878	0.962000
879	0.946000
880	0.949000
881	0.920000
882	0.944000
883	0.939000
884	0.944000
885	0.955000
886	0.926000
887	0.923000
888	0.941000
889	0.944000
890	0.942000
891	0.939000
892	0.933000
893	0.918000
894	0.924000
895	0.926000
896	0.934000
897	0.927000
898	0.924000
899	0.914000
900	0.914000
901	0.898000
902	0.877000
903	0.922000
904	0.921000
905	0.918000
906	0.908000
907	0.915000
908	0.901000
909	0.886000
910	0.895000
911	0.897000
912	0.890000
913	0.900000
914	0.898000
915	0.888000
916	0.895000
917	0.889000
918	0.888000
919	0.892000
920	0.885000
921	0.870000
922	0.863000
923	0.833000
924	0.870000
925	0.876000
926	0.846000
927	0.878000
928	0.871000
929	0.870000
930	0.869000
931	0.871000
932	0.865000
933	0.870000
934	0.867000
935	0.856000
936	0.852000
937	0.854000
938	0.859000
939	0.857000
940	0.840000
941	0.832000
942	0.806000
943	0.838000
944	0.819000
945	0.824000
946	0.831000
947	0.828000
948	0.831000
949	0.833000
950	0.829000
951	0.820000
952	0.824000
953	0.821000
954	0.812000
955	0.769000
956	0.802000
957	0.806000
958	0.811000
959	0.815000
960	0.806000
961	0.800000
962	0.802000
963	0.798000
964	0.788000
965	0.796000
966	0.786000
967	0.795000
968	0.785000
969	0.788000
970	0.791000
971	0.782000
972	0.788000
973	0.781000
974	0.769000
975	0.773000
976	0.781000
977	0.772000
978	0.778000
979	0.767000
980	0.775000
981	0.773000
982	0.779000
983	0.775000
984	0.769000
985	0.771000
986	0.766000
987	0.766000
988	0.764000
989	0.755000
990	0.757000
991	0.762000
992	0.757000
993	0.756000
994	0.759000
995	0.754000
996	0.753000
997	0.743000
998	0.743000
999	0.742000
1000	0.743000
1001	0.747000
1002	0.747000
1003	0.738000
1004	0.731000
1005	0.684000
1006	0.718000
1007	0.731000
1008	0.733000
1009	0.729000
1010	0.731000
1011	0.726000
1012	0.725000
1013	0.720000
1014	0.723000
1015	0.711000
1016	0.714000
1017	0.707000
1018	0.716000
1019	0.696000
1020	0.701000
1021	0.703000
1022	0.693000
1023	0.699000
1024	0.701000
1025	0.699000
1026	0.699000
1027	0.696000
1028	0.697000
1029	0.690000
1030	0.692000
1031	0.690000
1032	0.690000
1033	0.678000
1034	0.682000
1035	0.684000
1036	0.684000
1037	0.677000
1038	0.674000
1039	0.679000
1040	0.674000
1041	0.675000
1042	0.675000
1043	0.669000
1044	0.672000
1045	0.668000
1046	0.651000
1047	0.662000
1048	0.668000
1049	0.665000
1050	0.661000
1051	0.662000
1052	0.658000
1053	0.657000
1054	0.655000
1055	0.658000
1056	0.656000
1057	0.655000
1058	0.649000
1059	0.630000
1060	0.648000
1061	0.634000
1062	0.647000
1063	0.637000
1064	0.646000
1065	0.645000
1066	0.631000
1067	0.635000
1068	0.636000
1069	0.601000
1070	0.622000
1071	0.628000
1072	0.631000
1073	0.618000
1074	0.631000
1075	0.618000
1076	0.625000
1077	0.624000
1078	0.625000
1079	0.612000
1080	0.623000
1081	0.607000
1082	0.602000
1083	0.609000
1084	0.614000
1085	0.612000
1086	0.616000
1087	0.591000
1088	0.607000
1089	0.609000
1090	0.604000
1091	0.608000
1092	0.597000
1093	0.592000
1094	0.561000
1095	0.583000
1096	0.586000
1097	0.591000
1098	0.587000
1099	0.582000
1100	0.600000
1101	0.599000
1102	0.582000
1103	0.595000
1104	0.593000
1105	0.591000
1106	0.590000
1107	0.586000
1108	0.587000
1109	0.586000
1110	0.587000
1111	0.583000
1112	0.583000
1113	0.578000
1114	0.584000
1115	0.582000
1116	0.575000
1117	0.583000
1118	0.572000
1119	0.572000
1120	0.569000
1121	0.572000
1122	0.575000
1123	0.574000
1124	0.573000
1125	0.570000
1126	0.553000
1127	0.562000
1128	0.568000
1129	0.568000
1130	0.564000
1131	0.568000
1132	0.570000
1133	0.562000
1134	0.563000
1135	0.563000
1136	0.565000
1137	0.552000
1138	0.544000
1139	0.553000
1140	0.556000
1141	0.543000
1142	0.555000
1143	0.550000
1144	0.545000
1145	0.550000
1146	0.554000
1147	0.554000
1148	0.550000
1149	0.548000
1150	0.546000
1151	0.545000
1152	0.542000
1153	0.543000
1154	0.547000
1155	0.547000
1156	0.540000
1157	0.544000
1158	0.543000
1159	0.535000
1160	0.529000
1161	0.519000
1162	0.533000
1163	0.537000
1164	0.527000
1165	0.535000
1166	0.522000
1167	0.530000
1168	0.534000
1169	0.516000
1170	0.529000
1171	0.531000
1172	0.531000
1173	0.527000
1174	0.528000
1175	0.519000
1176	0.510000
1177	0.523000
1178	0.517000
1179	0.515000
1180	0.522000
1181	0.518000
1182	0.517000
1183	0.488000
1184	0.511000
1185	0.516000
1186	0.515000
1187	0.515000
1188	0.510000
1189	0.484000
1190	0.506000
1191	0.514000
1192	0.512000
1193	0.511000
1194	0.511000
1195	0.506000
1196	0.506000
1197	0.503000
1198	0.492000
1199	0.474000
1200	0.500000
1201	0.506000
1202	0.507000
1203	0.488000
1204	0.487000
1205	0.502000
1206	0.499000
1207	0.501000
1208	0.490000
1209	0.466000
1210	0.492000
1211	0.479000
1212	0.491000
1213	0.492000
1214	0.489000
1215	0.490000
1216	0.489000
1217	0.488000
1218	0.486000
1219	0.482000
1220	0.484000
1221	0.483000
1222	0.481000
1223	0.476000
1224	0.482000
1225	0.479000
1226	0.480000
1227	0.468000
1228	0.474000
1229	0.477000
1230	0.475000
1231	0.474000
1232	0.469000
1233	0.471000
1234	0.469000
1235	0.466000
1236	0.469000
1237	0.468000
1238	0.467000
1239	0.462000
1240	0.460000
1241	0.464000
1242	0.462000
1243	0.457000
1244	0.455000
1245	0.456000
1246	0.459000
1247	0.458000
1248	0.461000
1249	0.460000
1250	0.459000
1251	0.456000
1252	0.452000
1253	0.454000
1254	0.454000
1255	0.453000
1256	0.452000
1257	0.449000
1258	0.451000
1259	0.448000
1260	0.450000
1261	0.449000
1262	0.443000
1263	0.448000
1264	0.442000
1265	0.443000
1266	0.446000
1267	0.439000
1268	0.436000
1269	0.440000
1270	0.442000
1271	0.443000
1272	0.441000
1273	0.441000
1274	0.438000
1275	0.441000
1276	0.442000
1277	0.442000
1278	0.441000
1279	0.438000
1280	0.435000
1281	0.423000
1282	0.376000
1283	0.412000
1284	0.427000
1285	0.429000
1286	0.429000
1287	0.430000
1288	0.427000
1289	0.428000
1290	0.419000
1291	0.422000
1292	0.423000
1293	0.423000
1294	0.416000
1295	0.419000
1296	0.420000
1297	0.417000
1298	0.413000
1299	0.417000
1300	0.415000
1301	0.414000
1302	0.410000
1303	0.408000
1304	0.406000
1305	0.410000
1306	0.410000
1307	0.410000
1308	0.409000
1309	0.409000
1310	0.407000
1311	0.406000
1312	0.403000
1313	0.391000
1314	0.403000
1315	0.392000
1316	0.394000
1317	0.401000
1318	0.395000
1319	0.401000
1320	0.399000
1321	0.395000
1322	0.395000
1323	0.395000
1324	0.395000
1325	0.394000
1326	0.392000
1327	0.389000
1328	0.391000
1329	0.380000
1330	0.385000
1331	0.388000
1332	0.379000
1333	0.387000
1334	0.387000
1335	0.386000
1336	0.382000
1337	0.383000
1338	0.381000
1339	0.376000
1340	0.374000
1341	0.382000
1342	0.380000
1343	0.380000
1344	0.380000
1345	0.380000
1346	0.376000
1347	0.378000
1348	0.377000
1349	0.376000
1350	0.371000
1351	0.372000
1352	0.375000
1353	0.374000
1354	0.373000
1355	0.368000
1356	0.369000
1357	0.364000
1358	0.370000
1359	0.369000
1360	0.365000
1361	0.370000
1362	0.369000
1363	0.362000
1364	0.367000
1365	0.366000
1366	0.366000
1367	0.362000
1368	0.366000
1369	0.359000
1370	0.359000
1371	0.359000
1372	0.363000
1373	0.363000
1374	0.363000
1375	0.357000
1376	0.354000
1377	0.358000
1378	0.357000
1379	0.360000
1380	0.357000
1381	0.358000
1382	0.353000
1383	0.354000
1384	0.356000
1385	0.352000
1386	0.355000
1387	0.351000
1388	0.353000
1389	0.354000
1390	0.347000
1391	0.352000
1392	0.352000
1393	0.350000
1394	0.348000
1395	0.348000
1396	0.349000
1397	0.349000
1398	0.350000
1399	0.349000
1400	0.339000
1401	0.339000
1402	0.344000
1403	0.340000
1404	0.341000
1405	0.340000
1406	0.342000
1407	0.341000
1408	0.340000
1409	0.341000
1410	0.340000
1411	0.338000
1412	0.329000
1413	0.333000
1414	0.337000
1415	0.337000
1416	0.335000
1417	0.337000
1418	0.338000
1419	0.334000
1420	0.333000
1421	0.336000
1422	0.329000
1423	0.329000
1424	0.328000
1425	0.333000
1426	0.323000
1427	0.327000
1428	0.330000
1429	0.323000
1430	0.323000
1431	0.324000
1432	0.331000
1433	0.331000
1434	0.325000
1435	0.327000
1436	0.327000
1437	0.328000
1438	0.326000
1439	0.329000
1440	0.313000
1441	0.317000
1442	0.316000
1443	0.318000
1444	0.319000
1445	0.319000
1446	0.321000
1447	0.318000
1448	0.321000
1449	0.320000
1450	0.318000
1451	0.314000
1452	0.314000
1453	0.315000
1454	0.313000
1455	0.312000
1456	0.310000
1457	0.312000
1458	0.316000
1459	0.317000
1460	0.314000
1461	0.313000
1462	0.310000
1463	0.308000
1464	0.308000
1465	0.312000
1466	0.307000
1467	0.313000
1468	0.308000
1469	0.312000
1470	0.310000
1471	0.304000
1472	0.306000
1473	0.306000
1474	0.297000
1475	0.303000
1476	0.304000
1477	0.303000
1478	0.302000
1479	0.305000
1480	0.306000
1481	0.302000
1482	0.305000
1483	0.298000
1484	0.302000
1485	0.306000
1486	0.302000
1487	0.300000
1488	0.265000
1489	0.299000
1490	0.301000
1491	0.302000
1492	0.298000
1493	0.302000
1494	0.302000
1495	0.301000
1496	0.291000
1497	0.297000
1498	0.299000
1499	0.295000
1500	0.301000
1501	0.300000
1502	0.297000
1503	0.269000
1504	0.283000
1505	0.271000
1506	0.284000
1507	0.294000
1508	0.290000
1509	0.288000
1510	0.294000
1511	0.294000
1512	0.288000
1513	0.287000
1514	0.285000
1515	0.288000
1516	0.287000
1517	0.285000
1518	0.290000
1519	0.285000
1520	0.288000
1521	0.281000
1522	0.280000
1523	0.284000
1524	0.285000
1525	0.278000
1526	0.286000
1527	0.283000
1528	0.285000
1529	0.283000
1530	0.267000
1531	0.283000
1532	0.283000
1533	0.280000
1534	0.275000
1535	0.278000
1536	0.281000
1537	0.281000
1538	0.273000
1539	0.278000
1540	0.269000
1541	0.273000
1542	0.275000
1543	0.275000
1544	0.277000
1545	0.278000
1546	0.277000
1547	0.274000
1548	0.267000
1549	0.273000
1550	0.270000
1551	0.271000
1552	0.274000
1553	0.271000
1554	0.265000
1555	0.267000
1556	0.263000
1557	0.270000
1558	0.268000
1559	0.268000
1560	0.265000
1561	0.270000
1562	0.268000
1563	0.267000
1564	0.263000
1565	0.267000
1566	0.263000
1567	0.264000
1568	0.260000
1569	0.263000
1570	0.261000
1571	0.267000
1572	0.267000
1573	0.263000
1574	0.262000
1575	0.247000
1576	0.260000
1577	0.237000
1578	0.257000
1579	0.262000
1580	0.264000
1581	0.265000
1582	0.254000
1583	0.258000
1584	0.254000
1585	0.262000
1586	0.258000
1587	0.255000
1588	0.250000
1589	0.232000
1590	0.242000
1591	0.241000
1592	0.253000
1593	0.258000
1594	0.256000
1595	0.258000
1596	0.245000
1597	0.249000
1598	0.256000
1599	0.250000
1600	0.253000
1601	0.245000
1602	0.249000
1603	0.249000
1604	0.250000
1605	0.247000
1606	0.247000
1607	0.245000
1608	0.250000
1609	0.249000
1610	0.233000
1611	0.241000
1612	0.241000
1613	0.246000
1614	0.244000
1615	0.244000
1616	0.232000
1617	0.236000
1618	0.244000
1619	0.242000
1620	0.234000
1621	0.234000
1622	0.237000
1623	0.242000
1624	0.242000
1625	0.237000
1626	0.240000
1627	0.240000
1628	0.241000
1629	0.241000
1630	0.237000
1631	0.239000
1632	0.239000
1633	0.236000
1634	0.233000
1635	0.237000
1636	0.237000
1637	0.227000
1638	0.227000
1639	0.222000
1640	0.226000
1641	0.224000
1642	0.224000
1643	0.229000
1644	0.226000
1645	0.225000
1646	0.229000
1647	0.229000
1648	0.229000
1649	0.224000
1650	0.228000
1651	0.224000
1652	0.228000
1653	0.225000
1654	0.227000
1655	0.224000
1656	0.226000
1657	0.226000
1658	0.225000
1659	0.222000
1660	0.224000
1661	0.225000
1662	0.224000
1663	0.223000
1664	0.223000
1665	0.221000
1666	0.219000
1667	0.220000
1668	0.216000
1669	0.218000
1670	0.222000
1671	0.221000
1672	0.212000
1673	0.216000
1674	0.219000
1675	0.216000
1676	0.213000
1677	0.215000
1678	0.216000
1679	0.213000
1680	0.206000
1681	0.198000
1682	0.203000
1683	0.209000
1684	0.212000
1685	0.213000
1686	0.210000
1687	0.211000
1688	0.211000
1689	0.208000
1690	0.208000
1691	0.212000
1692	0.212000
1693	0.211000
1694	0.211000
1695	0.211000
1696	0.210000
1697	0.209000
1698	0.209000
1699	0.208000
1700	0.205000
1701	0.205000
1702	0.205000
1703	0.204667
1704	0.204333
1705	0.204000
1706	0.203000
1707	0.202000
1708	0.201000
1709	0.200000
1710	0.199000
1711	0.199600
1712	0.200200
1713	0.200800
1714	0.201400
1715	0.202000
1716	0.201200
1717	0.200400
1718	0.199600
1719	0.198800
1720	0.198000
1721	0.197800
1722	0.197600
1723	0.197400
1724	0.197200
1725	0.197000
1726	0.196200
1727	0.195400
1728	0.194600
1729	0.193800
1730	0.193000
1731	0.190800
1732	0.188600
1733	0.186400
1734	0.184200
1735	0.182000
1736	0.183600
1737	0.185200
1738	0.186800
1739	0.188400
1740	0.190000
1741	0.189200
1742	0.188400
1743	0.187600
1744	0.186800
1745	0.186000
1746	0.185800
1747	0.185600
1748	0.185400
1749	0.185200
1750	0.185000
1751	0.185000
1752	0.185000
1753	0.185000
1754	0.185000
1755	0.185000
1756	0.184400
1757	0.183800
1758	0.183200
1759	0.182600
1760	0.182000
1761	0.181800
1762	0.181600
1763	0.181400
1764	0.181200
1765	0.181000
1766	0.180800
1767	0.180600
1768	0.180400
1769	0.180200
1770	0.180000
1771	0.179200
1772	0.178400
1773	0.177600
1774	0.176800
1775	0.176000
1776	0.176000
1777	0.176000
1778	0.176000
1779	0.176000
1780	0.176000
1781	0.175600
1782	0.175200
1783	0.174800
1784	0.174400
1785	0.174000
1786	0.174000
1787	0.174000
1788	0.174000
1789	0.174000
1790	0.174000
1791	0.173400
1792	0.172800
1793	0.172200
1794	0.171600
1795	0.171000
1796	0.170400
1797	0.169800
1798	0.169200
1799	0.168600
1800	0.168000
1801	0.168200
1802	0.168400
1803	0.168600
1804	0.168800
1805	0.169000
1806	0.169000
1807	0.169000
1808	0.169000
1809	0.169000
1810	0.169000
1811	0.166200
1812	0.163400
1813	0.160600
1814	0.157800
1815	0.155000
1816	0.156000
1817	0.157000
1818	0.158000
1819	0.159000
1820	0.160000
1821	0.160600
1822	0.161200
1823	0.161800
1824	0.162400
1825	0.163000
1826	0.162200
1827	0.161400
1828	0.160600
1829	0.159800
1830	0.159000
1831	0.158800
1832	0.158600
1833	0.158400
1834	0.158200
1835	0.158000
1836	0.157600
1837	0.157200
1838	0.156800
1839	0.156400
1840	0.156000
1841	0.155400
1842	0.154800
1843	0.154200
1844	0.153600
1845	0.153000
1846	0.153000
1847	0.153000
1848	0.153000
1849	0.153000
1850	0.153000
1851	0.152600
1852	0.152200
1853	0.151800
1854	0.151400
1855	0.151000
1856	0.150600
1857	0.150200
1858	0.149800
1859	0.149400
1860	0.149000
1861	0.148600
1862	0.148200
1863	0.147800
1864	0.147400
1865	0.147000
1866	0.146800
1867	0.146600
1868	0.146400
1869	0.146200
1870	0.146000
1871	0.143200
1872	0.140400
1873	0.137600
1874	0.134800
1875	0.132000
1876	0.135000
1877	0.138000
1878	0.141000
1879	0.144000
1880	0.147000
1881	0.146800
1882	0.146600
1883	0.146400
1884	0.146200
1885	0.146000
1886	0.144800
1887	0.143600
1888	0.142400
1889	0.141200
1890	0.140000
1891	0.139600
1892	0.139200
1893	0.138800
1894	0.138400
1895	0.138000
1896	0.138400
1897	0.138800
1898	0.139200
1899	0.139600
1900	0.140000
1901	0.139800
1902	0.139600
1903	0.139400
1904	0.139200
1905	0.139000
1906	0.138600
1907	0.138200
1908	0.137800
1909	0.137400
1910	0.137000
1911	0.136800
1912	0.136600
1913	0.136400
1914	0.136200
1915	0.136000
1916	0.135800
1917	0.135600
1918	0.135400
1919	0.135200
1920	0.135000
1921	0.134800
1922	0.134600
1923	0.134400
1924	0.134200
1925	0.134000
1926	0.133400
1927	0.132800
1928	0.132200
1929	0.131600
1930	0.131000
1931	0.131200
1932	0.131400
1933	0.131600
1934	0.131800
1935	0.132000
1936	0.131600
1937	0.131200
1938	0.130800
1939	0.130400
1940	0.130000
1941	0.128000
1942	0.126000
1943	0.124000
1944	0.122000
1945	0.120000
1946	0.121200
1947	0.122400
1948	0.123600
1949	0.124800
1950	0.126000
1951	0.126400
1952	0.126800
1953	0.127200
1954	0.127600
1955	0.128000
1956	0.127600
1957	0.127200
1958	0.126800
1959	0.126400
1960	0.126000
1961	0.125400
1962	0.124800
1963	0.124200
1964	0.123600
1965	0.123000
1966	0.123200
1967	0.123400
1968	0.123600
1969	0.123800
1970	0.124000
1971	0.123600
1972	0.123200
1973	0.122800
1974	0.122400
1975	0.122000
1976	0.121600
1977	0.121200
1978	0.120800
1979	0.120400
1980	0.120000
1981	0.119800
1982	0.119600
1983	0.119400
1984	0.119200
1985	0.119000
